date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:32	3821/3821	---M--	200	added ('OK')	image/png	etag:%22eed-5a4c06b450978%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-1.png	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-1.png	(from http://petro.themegum.com/elementor/)
17:52:33	96661/96661	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:32%20GMT	http://petro.themegum.com/elementor/elements/testimonial-demo/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/testimonial-demo/index.html	(from http://petro.themegum.com/elementor/)
17:52:34	70919/70919	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:34%20GMT	http://petro.themegum.com/elementor/elements/pricing-table/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/pricing-table/index.html	(from http://petro.themegum.com/elementor/)
17:52:34	2962/2962	---M--	200	added ('OK')	image/png	etag:%22b92-5a4c06b47b8fa%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-2.png	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-2.png	(from http://petro.themegum.com/elementor/)
17:52:36	69854/69854	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:35%20GMT	http://petro.themegum.com/elementor/elements/responsive-tabs/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/responsive-tabs/index.html	(from http://petro.themegum.com/elementor/)
17:52:37	95221/95221	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:36%20GMT	http://petro.themegum.com/elementor/elements/button/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/button/index.html	(from http://petro.themegum.com/elementor/)
17:52:37	2974/2974	---M--	200	added ('OK')	image/png	etag:%22b9e-5a4c06b4a687d%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-3.png	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-3.png	(from http://petro.themegum.com/elementor/)
17:52:37	88399/88399	---M--	200	added ('OK')	image/jpeg	etag:%221594f-5a4c06aee5db1%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/blog-4.jpeg	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/blog-4.jpg	(from http://petro.themegum.com/elementor/)
17:52:38	2707/2707	---M--	200	added ('OK')	image/png	etag:%22a93-5a4c06b4d373f%22	http://petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-4.png	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/uploads/sites/3/2017/06/partners-4.png	(from http://petro.themegum.com/elementor/)
17:52:39	74577/74577	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:22:38%20GMT	http://petro.themegum.com/elementor/elements/custom-team/	D:/petro.themegum.com/petro.themegum.com/elementor/elements/custom-team/index.html	(from http://petro.themegum.com/elementor/)
